model	mse_within	mse_cross	mae_within	mae_cross	cls_acc_within	cls_acc_cross	cls_trans_within	cls_trans_cross	majority_acc_within	majority_acc_cross	unc_sep_within	unc_sep_cross	cls_acc_cdf_within	cls_acc_cdf_cross	cls_trans_cdf_within	cls_trans_cdf_cross	n_within	n_cross	config	status	description
EvidentialLSTM	0.009963	0.009963	0.078493	0.078493	0.604502	0.604502	0.519157	0.519157	0.575563	0.575563	0.002502	0.002502	0.604961	0.604961	0.522989	0.522989	2177	2177	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 3, "dropout": 0.3, "lr": 0.001, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.1389, "t2": 0.5654, "lambda1": 0.3, "single_cam": "NE8th"}	discarded	[1CAM] NE8th lambda1=0.3: worse mse (0.00996 vs 0.00876)
EvidentialLSTM	0.008744	0.008744	0.073119	0.073119	0.611851	0.611851	0.517241	0.517241	0.575563	0.575563	0.001803	0.001803	0.604961	0.604961	0.521073	0.521073	2177	2177	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 4, "dropout": 0.3, "lr": 0.001, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.1389, "t2": 0.5654, "lambda1": 0.25, "single_cam": "NE8th"}	kept	[1CAM] NE8th L4: tiny improvement 0.008757->0.008744
EvidentialLSTM	0.008676	0.008676	0.073161	0.073161	0.604502	0.604502	0.488506	0.488506	0.575563	0.575563	0.002148	0.002148	0.602205	0.602205	0.494253	0.494253	2177	2177	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 4, "dropout": 0.2, "lr": 0.001, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.1389, "t2": 0.5654, "lambda1": 0.25, "single_cam": "NE8th"}	discarded	[1CAM] NE8th d0.2: best mse but cls_trans<0.50
EvidentialLSTM	0.016991	0.022794	0.097823	0.119898	0.933599	0.944762	0.531178	0.502525	0.850599	0.945863	0.130443	0.088621	0.935036	0.944762	0.535797	0.502525	6265	4544	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 128, "n_layers": 3, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "t1_percentile": 20, "t2_percentile": 90, "t1": 0.1944, "t2": 0.8611, "lambda1": 0.25}	discarded	[4CAM] L3: worse mse (0.01699 vs 0.01361)
EvidentialLSTM	0.015648	0.022243	0.093592	0.120207	0.937749	0.945643	0.524249	0.500000	0.850599	0.945863	0.141054	0.075709	0.938069	0.945202	0.521940	0.497475	6265	4544	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "t1_percentile": 20, "t2_percentile": 90, "t1": 0.1944, "t2": 0.8611, "lambda1": 0.25}	discarded	[4CAM] h64/L4: worse (0.01565 vs 0.01361)
EvidentialLSTM	0.016712	0.029411	0.097170	0.137349	0.937749	0.945423	0.517321	0.505051	0.850599	0.945863	0.102415	0.059031	0.937749	0.945423	0.512702	0.505051	6265	4544	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 128, "n_layers": 4, "dropout": 0.3, "lr": 0.001, "batch_size": 64, "t1_percentile": 20, "t2_percentile": 90, "t1": 0.1944, "t2": 0.8611, "lambda1": 0.25}	discarded	[4CAM] d0.3: worse (0.01671 vs 0.01361)
EvidentialLSTM	0.015046	0.027465	0.091003	0.133312	0.942762	0.945538	0.476190	0.501188	0.849977	0.945538	0.080495	0.047834	0.942311	0.945538	0.476190	0.501188	6639	4774	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "t1_percentile": 20, "t2_percentile": 90, "t1": 0.1905, "t2": 0.8611, "lambda1": 0.25}	discarded	[4CAM] warmup=0: worse mse, cls_trans<0.50
EvidentialLSTM	0.014815	0.025954	0.092119	0.128405	0.942059	0.945863	0.505774	0.500000	0.850599	0.945863	0.067461	0.055200	0.941899	0.945863	0.503464	0.500000	6265	4544	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "t1_percentile": 20, "t2_percentile": 90, "t1": 0.1944, "t2": 0.8611, "lambda1": 0.25}	discarded	[4CAM] weight_decay=0: worse (0.01482 vs 0.01361)
EvidentialLSTM	0.016824	0.037319	0.095677	0.152213	0.935994	0.800396	0.501155	0.494949	0.850599	0.945863	0.124394	0.098248	0.935355	0.789613	0.508083	0.492424	6265	4544	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "t1_percentile": 20, "t2_percentile": 90, "t1": 0.1944, "t2": 0.8611, "lambda1": 0.25}	discarded	[4CAM] wd=1e-4: much worse
EvidentialLSTM	0.014068	0.021686	0.090392	0.117870	0.941261	0.945863	0.521940	0.500000	0.850599	0.945863	0.113106	0.071720	0.943017	0.945863	0.538106	0.500000	6265	4544	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.0005, "batch_size": 64, "t1_percentile": 20, "t2_percentile": 90, "t1": 0.1944, "t2": 0.8611, "lambda1": 0.25}	discarded	[4CAM] lr=5e-4: slightly worse (0.01407 vs 0.01361)
