model	mse_within	mse_cross	mae_within	mae_cross	cls_acc_within	cls_acc_cross	cls_trans_within	cls_trans_cross	majority_acc_within	majority_acc_cross	n_within	n_cross	config	status	description
LSTM	0.015087	0.023158	0.095558	0.123813	0.932894	0.943012	0.514056	0.498783	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":15,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333}	discarded	top-15 features (mse_within worse)
LSTM	0.011377	0.021032	0.078774	0.111843	0.919436	0.918345	0.572395	0.500000	0.825235	0.918345	6380	4617	{"mode":"lstm","model":"LSTM","n_features":75,"window":30,"horizon":20,"sub_window":5,"n_steps":4,"hidden_size":128,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.2,"t2":0.8}	discarded	horizon=20,sub_window=5 (mse_within worse)
LSTM	0.012038	0.027180	0.079819	0.124459	0.914630	0.903421	0.574519	0.507375	0.814536	0.905803	6384	4618	{"mode":"lstm","model":"LSTM","n_features":75,"window":30,"horizon":15,"sub_window":5,"n_steps":3,"hidden_size":128,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.2,"t2":0.8}	discarded	horizon=15 (mse worse, cross +40%)
LSTM	0.013400	0.025675	0.079713	0.122515	0.901857	0.883736	0.576052	0.489286	0.806522	0.884167	6409	4636	{"mode":"lstm","model":"LSTM","n_features":75,"window":30,"horizon":10,"sub_window":5,"n_steps":2,"hidden_size":128,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.2,"t2":0.8}	discarded	horizon=10 (mse both worse)
LSTM	0.010899	0.019737	0.075705	0.109485	0.954218	0.965980	0.507246	0.500000	0.864378	0.965980	6378	4615	{"mode":"lstm","model":"LSTM","n_features":75,"window":30,"horizon":30,"sub_window":3,"n_steps":10,"hidden_size":128,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.1667,"t2":0.8667}	kept	sub_window=3 (mse_within -0.7%)
LSTM	0.011049	0.019051	0.078045	0.106477	0.923487	0.930228	0.500808	0.497959	0.832706	0.930228	6378	4615	{"mode":"lstm","model":"LSTM","n_features":75,"window":30,"horizon":30,"sub_window":5,"n_steps":6,"hidden_size":128,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.2,"t2":0.8}	discarded	sub_window=5 (mse_within worse)
LSTM	0.010671	0.019349	0.076035	0.111208	0.931640	0.880390	0.505495	0.497872	0.809972	0.880607	6378	4615	{"mode":"lstm","model":"LSTM","n_features":75,"window":30,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":128,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7983}	kept	sub_window=10 (mse_within -2.1%)
LSTM	0.010763	0.018376	0.075369	0.106025	0.931034	0.883907	0.511218	0.502128	0.808934	0.883691	6380	4617	{"mode":"lstm","model":"LSTM","n_features":75,"window":20,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":128,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7983}	discarded	window=20 (mse_within worse)
LSTM	0.010372	0.018004	0.074093	0.105736	0.930488	0.882723	0.524800	0.495091	0.805900	0.882506	6373	4613	{"mode":"lstm","model":"LSTM","n_features":75,"window":40,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":128,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7982}	kept	window=40 (mse_within -2.8%, mse_cross -7.0%)
LSTM	0.011053	0.017813	0.077036	0.106378	0.931431	0.883761	0.507223	0.500000	0.808796	0.883761	6344	4594	{"mode":"lstm","model":"LSTM","n_features":75,"window":50,"horizon":30,"sub_window":10,"n_steps":3,"hidden_size":128,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.25,"t2":0.7981}	discarded	window=50 (mse_within worse)
